,2021,2022,2023
Cash and Cash Equivalents,34940000000.0,23646000000.0,29965000000.0
Short Term Investments,27699000000.0,24658000000.0,31590000000.0
Cash and Short Term Investments,62639000000.0,48304000000.0,61555000000.0
Accounts Receivable,51506000000.0,60932000000.0,60985000000.0
Inventory,6580000000.0,4946000000.0,6331000000.0
Other Current Assets,14111000000.0,21223000000.0,14695000000.0
Total Current Assets,134836000000.0,135405000000.0,143566000000.0
"Property, Plant and Equipment",39440000000.0,42117000000.0,43715000000.0
Goodwill,0.0,0.0,0.0
Intangible Assets,0.0,0.0,0.0
Long Term Investments,127877000000.0,120805000000.0,100544000000.0
Tax Assets,0.0,15375000000.0,17852000000.0
Other Fixed Assets,48849000000.0,39053000000.0,46906000000.0
Fixed Assets,216166000000.0,217350000000.0,209017000000.0
Other Assets,0.0,0.0,0.0
Total Assets,351002000000.0,352755000000.0,352583000000.0
Accounts Payable,54763000000.0,64115000000.0,62611000000.0
Short Term Debt,15613000000.0,21110000000.0,15807000000.0
Tax Payables,0.0,6552000000.0,8819000000.0
Deferred Revenue,7612000000.0,7912000000.0,8061000000.0
Other Current Liabilities,47493000000.0,60845000000.0,58829000000.0
Total Current Liabilities,125481000000.0,153982000000.0,145308000000.0
Long Term Debt,109106000000.0,98959000000.0,95281000000.0
Deferred Revenue Non Current,-16977000000.0,-16758000000.0,-19454000000.0
Deferred Tax Liabilities,16977000000.0,16758000000.0,19454000000.0
Other Non Current Liabilities,53325000000.0,49142000000.0,49848000000.0
Total Non Current Liabilities,162431000000.0,148101000000.0,145129000000.0
Other Liabilities,0.0,0.0,0.0
Capital Lease Obligations,10275000000.0,10748000000.0,11267000000.0
Total Liabilities,287912000000.0,302083000000.0,290437000000.0
Preferred Stock,0.0,0.0,0.0
Common Stock,57365000000.0,64849000000.0,73812000000.0
Retained Earnings,5562000000.0,-3068000000.0,-214000000.0
Accumulated Other Comprehensive Income,163000000.0,-11109000000.0,-11452000000.0
Other Total Shareholder Equity,0.0,0.0,0.0
Total Shareholder Equity,63090000000.0,50672000000.0,62146000000.0
Total Equity,63090000000.0,50672000000.0,62146000000.0
Total Liabilities and Shareholder Equity,351002000000.0,352755000000.0,352583000000.0
Minority Interest,0.0,0.0,0.0
Total Liabilities and Equity,351002000000.0,352755000000.0,352583000000.0
Total Investments,155576000000.0,145463000000.0,132134000000.0
Total Debt,124719000000.0,120069000000.0,122355000000.0
Net Debt,89779000000.0,96423000000.0,92390000000.0
