,2021,2022,2023
Revenue,365817000000.0,394328000000.0,383285000000.0
Cost of Goods Sold,212981000000.0,223546000000.0,214137000000.0
Gross Profit,152836000000.0,170782000000.0,169148000000.0
Gross Profit Ratio,0.4178,0.4331,0.4413
Research and Development Expenses,21914000000.0,26251000000.0,29915000000.0
General and Administrative Expenses,0.0,0.0,0.0
Selling and Marketing Expenses,0.0,0.0,0.0
"Selling, General and Administrative Expenses",21973000000.0,25094000000.0,24932000000.0
Other Expenses,-60000000.0,228000000.0,382000000.0
Operating Expenses,43827000000.0,51573000000.0,55229000000.0
Cost and Expenses,256808000000.0,275119000000.0,269366000000.0
Interest Income,2843000000.0,2825000000.0,3750000000.0
Interest Expense,2645000000.0,2931000000.0,3933000000.0
Depreciation and Amortization,11284000000.0,11104000000.0,11519000000.0
EBITDA,120233000000.0,130541000000.0,125820000000.0
EBITDA Ratio,0.3287,0.331,0.3283
Operating Income,108949000000.0,119437000000.0,114301000000.0
Operating Income Ratio,0.2978,0.3029,0.2982
Total Other Income,258000000.0,-334000000.0,-565000000.0
Income Before Tax,109207000000.0,119103000000.0,113736000000.0
Income Before Tax Ratio,0.2985,0.302,0.2967
Income Tax Expense,14527000000.0,19300000000.0,16741000000.0
Net Income,94680000000.0,99803000000.0,96995000000.0
Net Income Ratio,0.2588,0.2531,0.2531
EPS,5.67,6.15,6.16
EPS Diluted,5.61,6.11,6.13
Weighted Average Shares,16701272000.0,16215963000.0,15744231000.0
Weighted Average Shares Diluted,16864919000.0,16325819000.0,15812547000.0
